,Start Port. Value,End Port. Value,End Date,Shares,Share Price,Trade Value,Profit per Share,Total Profit,Stop-Loss Triggered
2001-02-22,100000.0,100976.73912644386,2001-06-04,11100.0,0.8960164785385132,9945.782911777496,0.0879945158958435,976.7391264438629,0.0
2001-07-13,100976.73912644386,109964.73912644386,2001-07-27,8400.0,1.1835755109786987,9942.03429222107,1.07,8988.000000000002,1.0
2001-10-31,109964.73912644386,113531.18125844002,2002-05-10,13000.0,0.8363614082336426,10872.698307037354,0.2743417024612427,3566.442131996155,0.0
2002-11-01,113531.18125844002,123681.18125844002,2002-12-13,14500.0,0.7792071104049683,11298.50310087204,0.7,10150.0,1.0
2003-02-25,123681.18125844002,122980.75380969048,2003-04-01,17100.0,0.7153843641281128,12233.072626590729,-0.04096066951751709,-700.4274487495422,0.0
2003-05-09,122980.75380969048,124377.66138362885,2003-11-18,13900.0,0.8716065883636475,12115.3315782547,0.10049694776535034,1396.9075739383698,0.0
2004-01-14,124377.66138362885,135505.66138362885,2004-05-14,10700.0,1.1526165008544922,12332.996559143066,1.04,11128.0,1.0
2004-06-03,135505.66138362885,135684.84217262268,2004-06-04,9900.0,1.3526573181152344,13391.30744934082,0.018099069595336914,179.18078899383545,0.0
2004-06-07,135684.84217262268,136123.73686170578,2004-08-16,9500.0,1.4198144674301147,13488.23744058609,0.04619944095611572,438.89468908309937,0.0
2004-09-01,136123.73686170578,149232.8978691101,2005-04-15,7900.0,1.7079683542251587,13492.949998378754,1.659387469291687,13109.161007404327,0.0
2005-06-13,149232.8978691101,149478.66083717346,2005-07-01,4300.0,3.4197466373443604,14704.91054058075,0.057154178619384766,245.7629680633545,0.0
2005-07-12,149478.66083717346,159564.5363483429,2006-02-13,4000.0,3.6426494121551514,14570.597648620605,2.5214688777923584,10085.875511169434,0.0
2006-04-27,159564.5363483429,173844.5363483429,2006-06-02,2400.0,6.607065200805664,15856.956481933594,5.95,14280.000000000002,1.0
2006-08-03,173844.5363483429,189366.5363483429,2007-01-08,2600.0,6.628973484039307,17235.331058502197,5.97,15522.0,1.0
2007-01-10,189366.5363483429,206006.5363483429,2007-01-23,2000.0,9.239982604980469,18479.965209960938,8.32,16640.0,1.0
2007-01-24,206006.5363483429,205222.36772346497,2007-02-09,2400.0,8.258833885192871,19821.20132446289,-0.3267369270324707,-784.1686248779297,0.0
2007-03-19,205222.36772346497,213972.91866111755,2007-08-23,2300.0,8.68082332611084,19965.89365005493,3.8045873641967773,8750.550937652588,0.0
2007-09-17,213972.91866111755,221828.24092674255,2007-12-06,1600.0,13.184600830078125,21095.361328125,4.909576416015625,7855.322265625,0.0
2007-12-10,221828.24092674255,240143.24092674255,2008-01-23,1100.0,18.49997329711914,20349.970626831055,16.65,18314.999999999996,1.0
2008-03-31,240143.24092674255,244449.17554664612,2008-06-27,1700.0,13.669459342956543,23238.080883026123,2.532902717590332,4305.934619903564,0.0
2008-08-27,244449.17554664612,265407.1755466461,2008-09-12,1400.0,16.638641357421875,23294.097900390625,14.97,20958.0,1.0
2009-02-12,265407.1755466461,289235.1755466461,2009-03-13,2800.0,9.456219673156738,26477.415084838867,8.51,23828.0,1.0
2009-03-19,289235.1755466461,315149.8987522125,2009-12-18,2900.0,9.680074691772461,28072.216606140137,8.936111450195312,25914.723205566406,0.0
2010-01-04,315149.8987522125,342674.8987522125,2010-02-10,1500.0,20.386072158813477,30579.108238220215,18.35,27525.0,1.0
2010-03-10,342674.8987522125,371594.8987522125,2010-06-10,1500.0,21.417709350585938,32126.564025878906,19.28,28920.000000000004,1.0
2010-06-18,371594.8987522125,404494.8987522125,2010-07-22,1400.0,26.10724639892578,36550.144958496094,23.5,32900.0,1.0
2010-09-20,404494.8987522125,413216.6844882965,2011-03-30,1400.0,26.97980499267578,37771.726989746094,6.229846954345703,8721.785736083984,0.0
2011-05-12,413216.6844882965,412169.62333106995,2011-05-27,1200.0,33.01340866088867,39616.090393066406,-0.8725509643554688,-1047.0611572265625,0.0
2011-07-14,412169.62333106995,414414.6565952301,2011-11-17,1200.0,34.08030700683594,40896.368408203125,1.8708610534667969,2245.0332641601562,0.0
2011-12-28,414414.6565952301,430278.8381137848,2012-05-09,1000.0,38.354515075683594,38354.515075683594,15.864181518554688,15864.181518554688,0.0
2012-06-25,430278.8381137848,436528.48716163635,2012-10-17,700.0,54.370174407958984,38059.12208557129,8.928070068359375,6249.6490478515625,0.0
2013-05-15,436528.48716163635,433305.1843204498,2013-06-28,900.0,47.521888732910156,42769.69985961914,-3.5814476013183594,-3223.3028411865234,0.0
2013-07-31,433305.1843204498,438508.3459415436,2013-10-07,800.0,50.14591979980469,40116.73583984375,6.5039520263671875,5203.16162109375,0.0
2013-10-15,438508.3459415436,440888.1841220856,2014-01-28,700.0,57.919342041015625,40543.53942871094,3.399768829345703,2379.838180541992,0.0
2014-03-03,440888.1841220856,441186.81083106995,2014-04-22,600.0,66.6698226928711,40001.893615722656,0.497711181640625,298.626708984375,0.0
2014-04-25,441186.81083106995,452021.4681186676,2014-10-17,600.0,72.25088500976562,43350.531005859375,18.057762145996094,10834.657287597656,0.0
2014-10-28,452021.4681186676,452010.63743019104,2015-01-05,400.0,98.69506072998047,39478.02429199219,-0.02707672119140625,-10.8306884765625,0.0
2015-02-05,452010.63743019104,454333.9437046051,2015-04-16,400.0,111.82062530517578,44728.25012207031,5.808265686035156,2323.3062744140625,0.0
2015-04-28,454333.9437046051,453627.04673194885,2015-06-25,300.0,121.72171783447266,36516.5153503418,-2.3563232421875,-706.89697265625,0.0
2015-10-27,453627.04673194885,450592.76633644104,2015-12-18,400.0,107.72703552246094,43090.814208984375,-7.585700988769531,-3034.2803955078125,0.0
2016-03-10,450592.76633644104,447796.30637550354,2016-05-05,400.0,96.06973266601562,38427.89306640625,-6.99114990234375,-2796.4599609375,0.0
2016-06-23,447796.30637550354,446244.7774448395,2016-06-27,400.0,91.81095123291016,36724.38049316406,-3.8788223266601562,-1551.5289306640625,0.0
2016-06-30,446244.7774448395,446772.14255714417,2016-07-11,400.0,91.333251953125,36533.30078125,1.3184127807617188,527.3651123046875,0.0
2016-07-25,446772.14255714417,450938.7563266754,2016-11-15,400.0,92.9955825805664,37198.23303222656,10.416534423828125,4166.61376953125,0.0
2016-12-21,450938.7563266754,459016.60056495667,2017-06-27,300.0,113.01858520507812,33905.57556152344,26.9261474609375,8077.84423828125,0.0
2017-08-02,459016.60056495667,458485.76255226135,2017-10-02,200.0,153.00157165527344,30600.314331054688,-2.6541900634765625,-530.8380126953125,0.0
2017-11-01,458485.76255226135,457845.7112827301,2018-02-06,200.0,163.13291931152344,32626.583862304688,-3.20025634765625,-640.05126953125,0.0
2018-03-08,457845.7112827301,457410.3414096832,2018-04-13,200.0,174.28611755371094,34857.22351074219,-2.176849365234375,-435.369873046875,0.0
2018-05-10,457410.3414096832,457127.5472202301,2018-07-11,200.0,187.1896209716797,37437.92419433594,-1.413970947265625,-282.794189453125,0.0
2018-07-24,457127.5472202301,461079.6529331207,2018-10-29,200.0,190.8383026123047,38167.66052246094,19.760528564453125,3952.105712890625,0.0
2019-02-12,461079.6529331207,465149.65415382385,2019-04-01,200.0,170.88999938964844,34177.99987792969,20.350006103515625,4070.001220703125,0.0
